TAZ,Poly,Area,Weight,GenEdge,PedEdge
197561,37956460,610,0.06267981915330867,26026751#0,37956453
197561,340583697,411,0.042231812577065354,329694552#1,37953798#0
197561,340582524,536,0.05507603781339909,337432401#6,337432401#6
197561,343476437,482,0.04952733251130292,231387458#1,231387458#1
197561,340584006,407,0.04182079736950267,26026751#2,37953798#1
197561,342734452,784,0.08055898068228524,200638835#0,200638835#0
197561,37953789,3038,0.31216605014385534,26026751#2,26026751#2
197561,340584005,630,0.06473489519112208,26026751#2,37953798#1
197561,342095519,1637,0.1682079736950267,329694552#1,37953798#1
197561,340583814,457,0.04695848746403617,329694552#1,37953798#0
197561,343476007,149,0.015310316481709824,453954922,-37807547#1
197561,340584539,591,0.060727496917385944,26026751#2,-37956453
